feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X5984078620bdbc4a9883465e292aac15	Env.feature..abbreviation.	SRF	0.00886363820387033	0.00777597620180503	321	11	0.255193667447864	0.534842453878643
b659ab07521880ff21415cee8d765227	Env.feature..abbreviation.	SRF	0.01423899819767	0.0117255563240666	321	21	0.225510043443227	0.534842453878643
X18c22f445da1b09fee4963a5549ef0ee	Env.feature..abbreviation.	SRF	0.00449315731495635	0.00514320230108473	321	6	0.382987382010829	0.534842453878643
ff636004891933e3182e7544f54d3bc4	Env.feature..abbreviation.	SRF	0.0132990137344525	0.00964881797265128	321	9	0.169075056038428	0.534842453878643
X3118d589f873f7d064e1a25fb89e4762	Env.feature..abbreviation.	SRF	0.0133909442859709	0.00576554653382464	321	8	0.0208305937612474	0.534842453878643
X3cdf89c5e7cc67cc69169e6e36e926ed	Env.feature..abbreviation.	SRF	0.0060208392906578	0.00443338550252581	321	3	0.1754018287166	0.534842453878643
X9ead14e7abd32c2e56eda68266808e63	Env.feature..abbreviation.	SRF	0.00465043484358838	0.00477162390676988	321	5	0.330496112746112	0.534842453878643
be09587b589eb9a1afb14db025fa15c7	Env.feature..abbreviation.	SRF	-0.00239279194663804	0.00194708682883492	321	1	0.220011802181833	0.534842453878643
X38a8f250140e57367b0473ea1268b6fa	Env.feature..abbreviation.	SRF	-0.00721493342796295	0.00587100849626535	321	1	0.220011802181825	0.534842453878643
fd017f7edcd24bfe78be2bf9aa37a35c	Env.feature..abbreviation.	SRF	0.0108960225941577	0.00943588878452831	321	13	0.249060134250899	0.534842453878643
c2a022302427800beab7e2050dc35311	Env.feature..abbreviation.	SRF	0.0177542582386684	0.0131443055613154	321	6	0.177742931205354	0.534842453878643
X548550daa311cd42826afe363dc1b756	Env.feature..abbreviation.	SRF	0.00228243866841802	0.00280415438639637	321	1	0.416281318782392	0.534842453878643
X0272d20d708a92b0577b96197e04f58f	Env.feature..abbreviation.	SRF	0.0031738587478722	0.00275005557397992	321	2	0.249320143735181	0.534842453878643
X632f9366d1d697335aaf79e20e7a8292	Env.feature..abbreviation.	SRF	0.0015869293739361	0.00194966683065719	321	1	0.416281318782373	0.534842453878643
X2193d19571159ae9f962f16b7e1bfbef	Env.feature..abbreviation.	SRF	-0.00424735212742612	0.00391777526637449	321	3	0.279128741657356	0.534842453878643
